image_name,sun_f,sun_l,sun_u
example_dataset/train/images/grey-rectified-left-046972.pgm,-0.8440756657677192,0.3341952425745793,0.419344500738116
example_dataset/train/images/grey-rectified-left-006679_flip.pgm,0.4887276570449573,-0.6552757084321221,0.5759852629869338
example_dataset/train/images/grey-rectified-left-040819.pgm,-0.5720205266383604,-0.6942325674924582,0.4368451205372473
example_dataset/train/images/grey-rectified-left-014282.pgm,-0.7053369046584061,0.3309732212058363,0.6268624871305757
example_dataset/train/images/grey-rectified-left-019338_flip.pgm,-0.7389281636808825,-0.3497093829646874,0.5759240543558296
example_dataset/train/images/grey-rectified-left-040083.pgm,0.1569204182018056,-0.844120173270919,0.5126764237103595
example_dataset/train/images/grey-rectified-left-020552_flip.pgm,-0.5921338395154861,0.5903032987872342,0.5485613288790576
example_dataset/train/images/grey-rectified-left-007037_flip.pgm,-0.2550880714588592,-0.7595238630209137,0.5983757826827454
example_dataset/train/images/grey-rectified-left-013316.pgm,0.0236012733695966,0.7736038525771062,0.6332298628248612
example_dataset/train/images/grey-rectified-left-007699.pgm,-0.505048629141117,0.6429225814732101,0.5758267416806047
example_dataset/train/images/grey-rectified-left-008291_flip.pgm,0.3971587514489681,-0.8186778665784092,0.4147667741298971
example_dataset/train/images/grey-rectified-left-032411_flip.pgm,-0.7088044231035512,0.408840397867608,0.5748441691974426
example_dataset/train/images/grey-rectified-left-009956_flip.pgm,0.8056210991338127,-0.1348598350840852,0.5768773435588547
example_dataset/train/images/grey-rectified-left-024632_flip.pgm,-0.8007605924713855,0.1034917645224576,0.5899762098770627
example_dataset/train/images/grey-rectified-left-026728_flip.pgm,-0.4952882520682211,0.6525120261111547,0.5735133853220185
example_dataset/train/images/grey-rectified-left-006525.pgm,0.1418910283203772,0.835815429429368,0.5303579018078142
example_dataset/train/images/grey-rectified-left-022414_flip.pgm,-0.122585923828388,0.7641176508255653,0.6333221194431473
example_dataset/train/images/grey-rectified-left-016319.pgm,-0.5415374633177567,0.5720461201307977,0.6160360478630048
example_dataset/train/images/grey-rectified-left-047198_flip.pgm,-0.911861300242846,-0.1064018043972392,0.3964689459975877
example_dataset/train/images/grey-rectified-left-010751_flip.pgm,0.7447840972823916,0.2151483265554087,0.6316706784517232
example_dataset/train/images/grey-rectified-left-028816.pgm,-0.613810211050467,0.5849114122881915,0.5302034181191352
example_dataset/train/images/grey-rectified-left-027459_flip.pgm,0.0008217291685603,-0.8593100731908392,0.5114543213953014
